text,label
내 지갑이 해져서 바꿔야겠다.,필요
아 노트 필기할 펜 다 떨어짐,필요
리모컨 건전지 또 떨어짐 ㅠㅠ,필요
충전 어댑터 또 사라짐 ㅠㅠ ㅋㅋ,필요
아 텀블러 뚜껑 깨짐;;,필요
노트 필기할 펜 다 떨어짐;;,필요
노트 필기할 펜 다 떨어짐;;,필요
내 마우스가 맨날 끊겨서 짜증남 ㄹㅇ,필요
우비 있어야 하는데 없네~,필요
노트 필기할 펜 다 떨어짐 ㄹㅇ,필요
노트 필기할 펜 다 떨어짐 ㅋㅋ,필요
휴대폰 케이스 다 찢어짐 ㄹㅇ,필요
칫솔모 다 닳아서 못씀;;,필요
칫솔모 다 닳아서 못씀;;,필요
필통지퍼나감..,필요
휴대폰 케이스 다 찢어짐~,필요
휴대폰 케이스 다 찢어짐;;,필요
리모컨 건전지 또 떨어짐;;,필요
아 리모컨 건전지 또 떨어짐,필요
휴대폰 케이스 다 찢어짐 ㅠㅠ,필요
필통 지퍼 나감 ㅋㅋ,필요
텀블러뚜껑깨짐;;..,필요
노트 필기할 펜 다 떨어짐 ㄹㅇ,필요
휴대폰 케이스 다 찢어짐 ㄹㅇ,필요
우비 있어야 하는데 없네~,필요
휴대폰 케이스 다 찢어짐;;,필요
칫솔모 다 닳아서 못씀,필요
슬리퍼 완전 헤짐;;,필요
충전 어댑터 또 사라짐 ㅠㅠ,필요
노트 필기할 펜 다 떨어짐,필요
우비 있어야 하는데 없네,필요
텀블러 뚜껑 깨짐;;,필요
필통 지퍼 나감,필요
휴대폰 케이스 다 찢어짐,필요
리모컨 건전지 또 떨어짐,필요
내 마우스가 맨날 끊겨서 짜증남 ㅠㅠ,필요
아 우비 있어야 하는데 없네,필요
슬리퍼 완전 헤짐;; ㄹㅇ,필요
우비 있어야 하는데 없네 ㅋㅋ,필요
노트 필기할 펜 다 떨어짐;;,필요
리모컨 건전지 또 떨어짐 ㄹㅇ,필요
아 우비 있어야 하는데 없네,필요
아 필통 지퍼 나감,필요
아 우비 있어야 하는데 없네,필요
텀블러 뚜껑 깨짐;;~,필요
칫솔모 다 닳아서 못씀~,필요
휴대폰케이스다찢어짐..,필요
노트 필기할 펜 다 떨어짐 ㄹㅇ,필요
우비 있어야 하는데 없네 ㄹㅇ,필요
텀블러뚜껑깨짐;;..,필요
슬리퍼완전헤짐;;..,필요
칫솔모 다 닳아서 못씀;;,필요
텀블러 뚜껑 깨짐;;;;,필요
리모컨 건전지 또 떨어짐 ㅋㅋ,필요
아 노트 필기할 펜 다 떨어짐,필요
아 충전 어댑터 또 사라짐 ㅠㅠ,필요
리모컨 건전지 또 떨어짐~,필요
슬리퍼 완전 헤짐;; ㅋㅋ,필요
슬리퍼 완전 헤짐;; ㄹㅇ,필요
내 마우스가 맨날 끊겨서 짜증남;;,필요
휴대폰 케이스 다 찢어짐 ㅋㅋ,필요
필통 지퍼 나감 ㅠㅠ,필요
텀블러 뚜껑 깨짐;;;;,필요
우비 있어야 하는데 없네;;,필요
필통 지퍼 나감 ㄹㅇ,필요
텀블러 뚜껑 깨짐;;~,필요
텀블러 뚜껑 깨짐;; ㅠㅠ,필요
칫솔모 다 닳아서 못씀 ㅠㅠ,필요
우비 있어야 하는데 없네 ㅠㅠ,필요
휴대폰케이스다찢어짐..,필요
노트 필기할 펜 다 떨어짐 ㅋㅋ,필요
아 충전 어댑터 또 사라짐 ㅠㅠ,필요
아 노트 필기할 펜 다 떨어짐,필요
필통 지퍼 나감 ㄹㅇ,필요
내 마우스가 맨날 끊겨서 짜증남;;,필요
아 노트 필기할 펜 다 떨어짐,필요
슬리퍼 완전 헤짐;; ㅠㅠ,필요
필통 지퍼 나감 ㄹㅇ,필요
칫솔모 다 닳아서 못씀 ㅠㅠ,필요
슬리퍼완전헤짐;;..,필요
텀블러 뚜껑 깨짐;; ㄹㅇ,필요
충전 어댑터 또 사라짐 ㅠㅠ ㄹㅇ,필요
텀블러 뚜껑 깨짐;; ㅠㅠ,필요
충전어댑터또사라짐ㅠㅠ..,필요
텀블러 뚜껑 깨짐;; ㅋㅋ,필요
슬리퍼 완전 헤짐;; ㅠㅠ,필요
내 마우스가 맨날 끊겨서 짜증남,필요
노트 필기할 펜 다 떨어짐 ㄹㅇ,필요
노트 필기할 펜 다 떨어짐;;,필요
휴대폰 케이스 다 찢어짐 ㄹㅇ,필요
내 마우스가 맨날 끊겨서 짜증남;;,필요
내 마우스가 맨날 끊겨서 짜증남 ㅠㅠ,필요
필통 지퍼 나감 ㅠㅠ,필요
아 휴대폰 케이스 다 찢어짐,필요
칫솔모 다 닳아서 못씀 ㄹㅇ,필요
아 필통 지퍼 나감,필요
슬리퍼 완전 헤짐;;;;,필요
칫솔모 다 닳아서 못씀 ㅋㅋ,필요
휴대폰 케이스 다 찢어짐~,필요
리모컨 건전지 또 떨어짐 ㄹㅇ,필요
아 텀블러 뚜껑 깨짐;;,필요
키보드가 먹통이야.,필요
우산이 부러져서 새로 사야겠어.,필요
내 지갑이 해져서 바꿔야겠다.,필요
키보드가 먹통이야.,필요
화장솜이 다 떨어졌어.,필요
내 헤드폰 고장 나서 새로 사야겠다.,필요
운동화 바닥이 다 닳아서 불편해.,필요
전동칫솔 브러시 다 썼네.,필요
장우산은 있는데 접이식이 필요해.,필요
내 보조배터리 수명이 다 된 것 같아.,필요
집에서 쓰는 수건이 다 낡았어.,필요
우산이 부러져서 새로 사야겠어.,필요
내 지갑이 해져서 바꿔야겠다.,필요
키보드가 먹통이야.,필요
화장솜이 다 떨어졌어.,필요
내 헤드폰 고장 나서 새로 사야겠다.,필요
운동화 바닥이 다 닳아서 불편해.,필요
전동칫솔 브러시 다 썼네.,필요
장우산은 있는데 접이식이 필요해.,필요
내 보조배터리 수명이 다 된 것 같아.,필요
집에서 쓰는 수건이 다 낡았어.,필요
우산이 부러져서 새로 사야겠어.,필요
집에서 쓰는 수건이 다 낡았어.,필요
내 보조배터리 수명이 다 된 것 같아.,필요
장우산은 있는데 접이식이 필요해.,필요
전동칫솔 브러시 다 썼네.,필요
내 헤드폰 고장 나서 새로 사야겠다.,필요
운동화 바닥이 다 닳아서 불편해.,필요
전동칫솔 브러시 다 썼네.,필요
장우산은 있는데 접이식이 필요해.,필요
내 보조배터리 수명이 다 된 것 같아.,필요
집에서 쓰는 수건이 다 낡았어.,필요
우산이 부러져서 새로 사야겠어.,필요
내 지갑이 해져서 바꿔야겠다.,필요
키보드가 먹통이야.,필요
화장솜이 다 떨어졌어.,필요
내 지갑이 해져서 바꿔야겠다.,필요
내 헤드폰 고장 나서 새로 사야겠다.,필요
전동칫솔 브러시 다 썼네.,필요
장우산은 있는데 접이식이 필요해.,필요
내 보조배터리 수명이 다 된 것 같아.,필요
집에서 쓰는 수건이 다 낡았어.,필요
우산이 부러져서 새로 사야겠어.,필요
내 지갑이 해져서 바꿔야겠다.,필요
키보드가 먹통이야.,필요
화장솜이 다 떨어졌어.,필요
내 헤드폰 고장 나서 새로 사야겠다.,필요
운동화 바닥이 다 닳아서 불편해.,필요
운동화 바닥이 다 닳아서 불편해.,필요
키보드가 먹통이야.,필요
화장솜이 다 떨어졌어.,필요
내 헤드폰 고장 나서 새로 사야겠다.,필요
우산이 부러져서 새로 사야겠어.,필요
내 지갑이 해져서 바꿔야겠다.,필요
키보드가 먹통이야.,필요
화장솜이 다 떨어졌어.,필요
내 헤드폰 고장 나서 새로 사야겠다.,필요
운동화 바닥이 다 닳아서 불편해.,필요
전동칫솔 브러시 다 썼네.,필요
장우산은 있는데 접이식이 필요해.,필요
내 보조배터리 수명이 다 된 것 같아.,필요
집에서 쓰는 수건이 다 낡았어.,필요
우산이 부러져서 새로 사야겠어.,필요
내 지갑이 해져서 바꿔야겠다.,필요
키보드가 먹통이야.,필요
화장솜이 다 떨어졌어.,필요
내 헤드폰 고장 나서 새로 사야겠다.,필요
운동화 바닥이 다 닳아서 불편해.,필요
전동칫솔 브러시 다 썼네.,필요
장우산은 있는데 접이식이 필요해.,필요
내 보조배터리 수명이 다 된 것 같아.,필요
집에서 쓰는 수건이 다 낡았어.,필요
우산이 부러져서 새로 사야겠어.,필요
집에서 쓰는 수건이 다 낡았어.,필요
화장솜이 다 떨어졌어.,필요
내 보조배터리 수명이 다 된 것 같아.,필요
전동칫솔 브러시 다 썼네.,필요
운동화 바닥이 다 닳아서 불편해.,필요
전동칫솔 브러시 다 썼네.,필요
장우산은 있는데 접이식이 필요해.,필요
내 보조배터리 수명이 다 된 것 같아.,필요
집에서 쓰는 수건이 다 낡았어.,필요
